msg_id,t_db_ack_ms
fire_system_esp32_443089,1769703650623
fire_system_esp32_448069,1769703655606
fire_system_esp32_448089,1769703655626
fire_system_esp32_453069,1769703660614
fire_system_esp32_453089,1769703660635
fire_system_esp32_458069,1769703665603
fire_system_esp32_458099,1769703665624
fire_system_esp32_463069,1769703670598
fire_system_esp32_463099,1769703670619
fire_system_esp32_468069,1769703675599
fire_system_esp32_468099,1769703675620
fire_system_esp32_473069,1769703680599
fire_system_esp32_473099,1769703680620
fire_system_esp32_478069,1769703685604
fire_system_esp32_478099,1769703685625
fire_system_esp32_483069,1769703690606
fire_system_esp32_483099,1769703690627
fire_system_esp32_6208,1769703700788
fire_system_esp32_6208,1769703700808
fire_system_esp32_5968,1769703710629
fire_system_esp32_5978,1769703710711
fire_system_esp32_6008,1769703720546
fire_system_esp32_6008,1769703720566
fire_system_esp32_11008,1769703725556
fire_system_esp32_11028,1769703726820
fire_system_esp32_16018,1769703730621
fire_system_esp32_16028,1769703730776
fire_system_esp32_21028,1769703735573
fire_system_esp32_21018,1769703735615
fire_system_esp32_26018,1769703740552
fire_system_esp32_26028,1769703740572
fire_system_esp32_31018,1769703745555
fire_system_esp32_31038,1769703745617
fire_system_esp32_36018,1769703750559
fire_system_esp32_36038,1769703750580
fire_system_esp32_41018,1769703755561
fire_system_esp32_41038,1769703755582
fire_system_esp32_46038,1769703760648
fire_system_esp32_46018,1769703760689
fire_system_esp32_51018,1769703765555
fire_system_esp32_51038,1769703765690
fire_system_esp32_56018,1769703770557
fire_system_esp32_56038,1769703770578
fire_system_esp32_61018,1769703775561
fire_system_esp32_61038,1769703775582
fire_system_esp32_66018,1769703780554
fire_system_esp32_66038,1769703780574
fire_system_esp32_71018,1769703785556
fire_system_esp32_71038,1769703785577
fire_system_esp32_76018,1769703790560
fire_system_esp32_76038,1769703790581
fire_system_esp32_81018,1769703795556
fire_system_esp32_81038,1769703795607
fire_system_esp32_86018,1769703800624
fire_system_esp32_86038,1769703800645
fire_system_esp32_91018,1769703805565
fire_system_esp32_91038,1769703805586
fire_system_esp32_96038,1769703810598
fire_system_esp32_96018,1769703810639
fire_system_esp32_101018,1769703815565
fire_system_esp32_101038,1769703815586
fire_system_esp32_106018,1769703820553
fire_system_esp32_106038,1769703820616
fire_system_esp32_111018,1769703825561
fire_system_esp32_111038,1769703825581
fire_system_esp32_116018,1769703830554
fire_system_esp32_116038,1769703830575
fire_system_esp32_121018,1769703835556
fire_system_esp32_121038,1769703835577
fire_system_esp32_126018,1769703840553
fire_system_esp32_126038,1769703840574
fire_system_esp32_131018,1769703845552
fire_system_esp32_131038,1769703845573
fire_system_esp32_136018,1769703850550
fire_system_esp32_136038,1769703850571
fire_system_esp32_141018,1769703855553
fire_system_esp32_141038,1769703855574
fire_system_esp32_146018,1769703860556
fire_system_esp32_146038,1769703860577
fire_system_esp32_151018,1769703865552
fire_system_esp32_151038,1769703865574
fire_system_esp32_156018,1769703870552
fire_system_esp32_156038,1769703870573
fire_system_esp32_161018,1769703875558
fire_system_esp32_161038,1769703875579
fire_system_esp32_166018,1769703880554
fire_system_esp32_166038,1769703880574
fire_system_esp32_171018,1769703885553
fire_system_esp32_171038,1769703885574
fire_system_esp32_176018,1769703890561
fire_system_esp32_176038,1769703890581
fire_system_esp32_181018,1769703895553
fire_system_esp32_181038,1769703895574
fire_system_esp32_186018,1769703900562
fire_system_esp32_186038,1769703900583
fire_system_esp32_191018,1769703905556
fire_system_esp32_191038,1769703905577
fire_system_esp32_196018,1769703910551
fire_system_esp32_196038,1769703910571
fire_system_esp32_201018,1769703915554
fire_system_esp32_201038,1769703915575
fire_system_esp32_206018,1769703920549
fire_system_esp32_206038,1769703920570
fire_system_esp32_211018,1769703925552
fire_system_esp32_211038,1769703925572
fire_system_esp32_216018,1769703930552
fire_system_esp32_216038,1769703930573
fire_system_esp32_221018,1769703935556
fire_system_esp32_221038,1769703935576
fire_system_esp32_226038,1769703940551
fire_system_esp32_226018,1769703940594
fire_system_esp32_231018,1769703945558
fire_system_esp32_231038,1769703945579
fire_system_esp32_236018,1769703950552
fire_system_esp32_236038,1769703950573
fire_system_esp32_241018,1769703955555
fire_system_esp32_241038,1769703955576
fire_system_esp32_246018,1769703960555
fire_system_esp32_246038,1769703960575
fire_system_esp32_251018,1769703965564
fire_system_esp32_251038,1769703965586
fire_system_esp32_256018,1769703970559
fire_system_esp32_256048,1769703970580
fire_system_esp32_261018,1769703975559
fire_system_esp32_261048,1769703975579
fire_system_esp32_266018,1769703980556
fire_system_esp32_266048,1769703980577
